,tweet_dt,id,username,name,tweet,like_count,reply_count,retweet_count,retweeted
2592,2021-08-07,1423992706154602505,kaylanatalya,glitta,@ksbi14 me af lmaoooooooo &amp; everyone hates it idc,1,0,0,False
2593,2021-08-07,1423992689654173701,trAshmouth80s,b saw tss x2,anyways polka dot man had a crush on milton idc who says differently HE DID,1,0,0,False
2594,2021-08-07,1423992685543702534,aandaamira,una puta enchochada (:,"i be like ""nah idc"" then be staring at u like I'm planning ur death :)",1,0,0,False
2595,2021-08-07,1423992658540650496,Afcmuasu,muasu⚡,@Arsenal @Thomaspartey22 @EddieNketiah9 @biel_m04 Please sign someone idc it's Bernardo maddison ødeegard all class please,0,0,0,False
2596,2021-08-07,1423992636889657352,devarizon,dev ♒️,One thing bout me is ima always be down to drink. Idc what time or what day it is pass me the mf bottle,0,0,0,False
2597,2021-08-07,1423992601192062979,beebree_xo,BaddieB 🐝,One thing bout me I gin be up under my mummy tell I die. Idc 😂,1,0,0,False
2598,2021-08-07,1423992563040768000,jordanclaxton8,Jordan,@DailyRapFacts Idc at this point,0,0,0,False
2599,2021-08-07,1423992535567982594,honeyedknuckles,"joshua, zidian fucker💫",@AiND_art oh lord most of the time idc about tags too much but let's see hsjdjjsja,1,0,0,False
2600,2021-08-07,1423992516068663304,boatbxy,xxxtentacles,"Bruno scoring a freekick and Maguire scoring a header 
Idc if its preseason, it might actually be coming home🤧",2,0,0,False
2601,2021-08-07,1423992507063492611,emy_langford_ft,Emy// stan H&J 💕,Idc what y'all say but I kinda like this song👀✋🏻,4,0,0,False
2602,2021-08-07,1423992452948582407,C_JWTM,Drug💰,Idc what nobody say Sausage egg &amp; cheese McGriddles are top tier breakfast 😋,1,0,0,False
2603,2021-08-07,1423992419993849864,not_needy_,Niddi🌼,"hellu bitches, welcome to my concert or whatever idc ilysm ok bye &lt;33 https://t.co/BRGy7d7HYK",5,0,0,False
2604,2021-08-07,1423992399022460934,femravenclaw,mithian,@mshawngela i will stay in the kitchen cooking for miss trina idc if shes anti feminist 😚,0,0,0,False
